color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,action,adventure,biography,comedy,crime,drama,fantasy,history,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
color,darren aronofsky,138,101160529,,noah,2014,english,usa,125000000,5.8,"anthony hopkins,emma watson,logan lerman",71000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
color,martin scorsese,138,127968405,,shutter island,2010,english,usa,80000000,8.1,"leonardo dicaprio,joseph sikora,nellie sciutto",53000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
color,ridley scott,138,16969390,,the counselor,2013,english,usa,25000000,5.3,"michael fassbender,brad pitt,goran visnjic",24000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
color,daniel espinosa,137,1206135,,child 44,205,english,czech republic,50000000,6.4,"tom hardy,fares fares,michael nardone",18000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
color,angelina jolie pitt,137,115603980,,unbroken,2014,english,usa,65000000,7.2,"finn wittrock,jack o'connell,alex russell",35000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
color,anthony russo,136,259746958,,captain america: the winter soldier,2014,english,usa,170000000,7.8,"scarlett johansson,chris evans,hayley atwell",55000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
color,rob marshall,136,241063875,,pirates of the caribbean: on stranger tides,2011,english,usa,250000000,6.7,"johnny depp,sam claflin,stephen graham",58000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
color,adam shankman,136,38509342,,rock of ages,2012,english,usa,75000000,5.9,"james martin kelly,shane hartline,celina beach",33000,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
color,tony gilroy,135,113165635,,the bourne legacy,2012,english,usa,125000000,6.7,"jeremy renner,scott glenn,stacy keach",31000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
color,steve mcqueen,134,56667870,,12 years a slave,2013,english,usa,20000000,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
color,paul greengrass,134,107100855,,captain phillips,2013,english,usa,55000000,7.9,"tom hanks,chris mulkey,michael chernus",65000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
color,david ayer,134,85707116,,fury,2014,english,usa,68000000,7.6,"brad pitt,logan lerman,jim parrack",82000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
color,clint eastwood,5,47034272,,jersey boys,2014,english,usa,40000000,6.9,"johnny cannizzaro,steve schirripa,scott vance",16000,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
